"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10090,62,5,1.13043,0.0,1940,2060
10090,62,9,1.13043,0.0,1940,2060
10091,11,1,1.13043,0.0,1940,2060
10091,11,2,1.08696,0.02,1940,2060
10091,11,3,1.13043,0.0,1940,2060
10091,11,5,1.13043,0.0,1940,2060
10091,11,9,1.13043,0.0,1940,2060
10091,21,1,1.13043,0.0,1940,2060
10091,21,2,1.08696,0.02,1940,2060
10091,21,3,1.13043,0.0,1940,2060
10091,21,5,1.13043,0.0,1940,2060
10091,21,9,1.13043,0.0,1940,2060
10091,31,1,1.13043,0.0,1940,2060
10091,31,2,1.08696,0.02,1940,2060
10091,31,3,1.13043,0.0,1940,2060
10091,31,5,1.13043,0.0,1940,2060
10091,31,9,1.13043,0.0,1940,2060
10091,32,1,1.13043,0.0,1940,2060
10091,32,2,1.08696,0.02,1940,2060
10091,32,3,1.13043,0.0,1940,2060
10091,32,5,1.13043,0.0,1940,2060
10091,32,9,1.13043,0.0,1940,2060
10091,41,1,1.13043,0.0,1940,2060
10091,41,2,1.08696,0.02,1940,2060
10091,41,3,1.13043,0.0,1940,2060
10091,41,5,1.13043,0.0,1940,2060
10091,41,9,1.13043,0.0,1940,2060
10091,42,1,1.13043,0.0,1940,2060
10091,42,2,1.08696,0.02,1940,2060
10091,42,3,1.13043,0.0,1940,2060
10091,42,5,1.13043,0.0,1940,2060
10091,42,9,1.13043,0.0,1940,2060
10091,43,1,1.13043,0.0,1940,2060
10091,43,2,1.08696,0.02,1940,2060
10091,43,3,1.13043,0.0,1940,2060
10091,43,5,1.13043,0.0,1940,2060
10091,43,9,1.13043,0.0,1940,2060
10091,51,1,1.13043,0.0,1940,2060
10091,51,2,1.08696,0.02,1940,2060
10091,51,3,1.13043,0.0,1940,2060
10091,51,5,1.13043,0.0,1940,2060
10091,51,9,1.13043,0.0,1940,2060
10091,52,1,1.13043,0.0,1940,2060
10091,52,2,1.08696,0.02,1940,2060
10091,52,3,1.13043,0.0,1940,2060
10091,52,5,1.13043,0.0,1940,2060
10091,52,9,1.13043,0.0,1940,2060
10091,53,1,1.13043,0.0,1940,2060
10091,53,2,1.08696,0.02,1940,2060
10091,53,3,1.13043,0.0,1940,2060
10091,53,5,1.13043,0.0,1940,2060
10091,53,9,1.13043,0.0,1940,2060
10091,54,1,1.13043,0.0,1940,2060
10091,54,2,1.08696,0.02,1940,2060
10091,54,3,1.13043,0.0,1940,2060
10091,54,5,1.13043,0.0,1940,2060
10091,54,9,1.13043,0.0,1940,2060
10091,61,1,1.13043,0.0,1940,2060
10091,61,2,1.08696,0.02,1940,2060
10091,61,3,1.13043,0.0,1940,2060
10091,61,5,1.13043,0.0,1940,2060
10091,61,9,1.13043,0.0,1940,2060
10091,62,1,1.13043,0.0,1940,2060
10091,62,2,1.08696,0.02,1940,2060
10091,62,3,1.13043,0.0,1940,2060
10091,62,5,1.13043,0.0,1940,2060
10091,62,9,1.13043,0.0,1940,2060
10609,11,1,8.0,0.0,1940,2060
10609,11,2,8.0,0.0,1940,2060
10609,11,3,8.0,0.0,1940,2060
10609,11,5,8.0,0.0,1940,2060
10609,11,9,8.0,0.0,1940,2060
10609,21,1,8.0,0.0,1940,2060
10609,21,2,8.0,0.0,1940,2060
10609,21,3,8.0,0.0,1940,2060
10609,21,5,8.0,0.0,1940,2060
10609,21,9,8.0,0.0,1940,2060
10609,31,1,8.0,0.0,1940,2060
10609,31,2,8.0,0.0,1940,2060
10609,31,3,8.0,0.0,1940,2060
