eGrid_region,Fuel,Pollutant,Emission_rate,Unit
ERCT,ng,NH3,0.028367801,lb/MWh
FRCC,ng,NH3,0.021451718,lb/MWh
MROE,ng,NH3,0.01043757,lb/MWh
MROW,ng,NH3,0.044391708,lb/MWh
NEWE,ng,NH3,0.026176639,lb/MWh
NWPP,ng,NH3,0.032821858,lb/MWh
NYCW,ng,NH3,0.032388037,lb/MWh
NYLI,ng,NH3,0.051355009,lb/MWh
NYUP,ng,NH3,0.016022165,lb/MWh
RFCE,ng,NH3,0.022503079,lb/MWh
RFCM,ng,NH3,0.030990986,lb/MWh
RFCW,ng,NH3,0.023342053,lb/MWh
RMPA,ng,NH3,0.038288111,lb/MWh
SPNO,ng,NH3,0.035111843,lb/MWh
SPSO,ng,NH3,0.035374509,lb/MWh
SRMV,ng,NH3,0.043366597,lb/MWh
SRMW,ng,NH3,0.031948789,lb/MWh
SRSO,ng,NH3,0.022816687,lb/MWh
SRTV,ng,NH3,0.036936167,lb/MWh
SRVC,ng,NH3,0.032802059,lb/MWh
AZNM,oil,PM25,0.08754289,lb/MWh
ERCT,oil,PM25,0.08649794,lb/MWh
FRCC,oil,PM25,0.04761695,lb/MWh
MROW,oil,PM25,0.02216163,lb/MWh
NEWE,oil,PM25,0.16138612,lb/MWh
NYCW,oil,PM25,0.45983783,lb/MWh
NYLI,oil,PM25,0.51370706,lb/MWh
NYUP,oil,PM25,0.0474871,lb/MWh
RFCE,oil,PM25,0.11406951,lb/MWh
RFCM,oil,PM25,0.67917686,lb/MWh
RFCW,oil,PM25,0.12469704,lb/MWh
SPNO,oil,PM25,0.10262621,lb/MWh
SRMV,oil,PM25,0.13709133,lb/MWh
SRMW,oil,PM25,0.1913645,lb/MWh
SRSO,oil,PM25,0.17174191,lb/MWh
SRVC,oil,PM25,0.25226999,lb/MWh
AZNM,oil,VOC,0.034439481,lb/MWh
ERCT,oil,VOC,0.078394738,lb/MWh
FRCC,oil,VOC,0.013692029,lb/MWh
MROW,oil,VOC,0.022643995,lb/MWh
NEWE,oil,VOC,0.068975455,lb/MWh
NYCW,oil,VOC,0.169605013,lb/MWh
NYLI,oil,VOC,0.065402416,lb/MWh
NYUP,oil,VOC,0.056181399,lb/MWh
RFCE,oil,VOC,0.029027413,lb/MWh
RFCM,oil,VOC,0.216390755,lb/MWh
RFCW,oil,VOC,0.010025922,lb/MWh
SPNO,oil,VOC,0.021538889,lb/MWh
SRMV,oil,VOC,0.031845234,lb/MWh
SRMW,oil,VOC,0.02161995,lb/MWh
SRSO,oil,VOC,0.005777719,lb/MWh
SRVC,oil,VOC,0.075385606,lb/MWh
AZNM,oil,NH3,0.075535431,lb/MWh
ERCT,oil,NH3,0.035826551,lb/MWh
FRCC,oil,NH3,0.042009039,lb/MWh
MROW,oil,NH3,0.19862263,lb/MWh
NEWE,oil,NH3,0.129746769,lb/MWh
NYCW,oil,NH3,0.145989645,lb/MWh
NYLI,oil,NH3,0.704325641,lb/MWh
NYUP,oil,NH3,0.056538904,lb/MWh
RFCE,oil,NH3,0.024490721,lb/MWh
RFCM,oil,NH3,0.041074862,lb/MWh
RFCW,oil,NH3,0.036430252,lb/MWh
SPNO,oil,NH3,0.156161855,lb/MWh
SRMV,oil,NH3,0.001766625,lb/MWh
SRMW,oil,NH3,0.285711516,lb/MWh
SRSO,oil,NH3,0.387365829,lb/MWh
SRVC,oil,NH3,0.068787103,lb/MWh
Average,ng,PM25,0.05239014,lb/MWh
Average,oil,PM25,0.19995468,lb/MWh
Average,coal,PM25,0.10851829,lb/MWh
Average,ng,VOC,0.020486604,lb/MWh
Average,oil,VOC,0.057559126,lb/MWh
Average,coal,VOC,0.025374966,lb/MWh
Average,ng,NH3,0.030568616,lb/MWh
Average,oil,NH3,0.149398961,lb/MWh
Average,coal,NH3,0.008103887,lb/MWh
