X,Y,OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,Link_Imports
-111.905455,40.792315,197,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,SALT LAKE CITY,Utah,4,,,26.5,,,12,8,42,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.7923,-111.9055,
-83.50492,41.6288900000001,198,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,TOLEDO,Ohio,2,,,82,52,,51.8,10,149.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6289,-83.5049,
-96.0226969999999,36.1391330000001,199,309,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA WEST,Oklahoma,2,,32,,,,,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1391,-96.0227,
-151.376675,60.6823350000001,200,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,KENAI,Alaska,5,,26,,13,,13.5,5,24.5,,9.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",60.6823,-151.3767,
-96.872662,37.797473,201,317,HF SINCLAIR EL DORADO REFINING LLC,HF SINCLAIR CORP,EL DORADO,Kansas,2,,65,44,,,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.7975,-96.8727,
-122.556244,48.470693,202,322,HF SINCLAIR PUGET SOUND REFG LLC,HF SINCLAIR CORP,ANACORTES,Washington,5,,65.8,57.9,,,21.7,12.5,130.5,25.3,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.4707,-122.5562,
-122.397126,47.2557860000001,203,329,US OIL & REFINING CO,PAR PETROLEUM INC,TACOMA,Washington,5,,19.2,,,,6.8,5,19.4,,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",47.2558,-122.3971,
-122.696618,48.830501,204,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,FERNDALE,Washington,5,,48.1,38,,,18.5,15.6,91.3,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.8305,-122.6966,
-74.2223499999999,40.6358760000001,205,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,LINDEN,New Jersey,1,,75,145,,,37,22.8,191,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.6359,-74.2224,
-75.403896,39.8191430000001,206,336,MONROE ENERGY LLC,DELTA AIR LINES INC,TRAINER,Pennsylvania,1,,73,53,23,,50,12,190.6,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8191,-75.4039,
-97.101794,34.2044000000001,207,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,ARDMORE,Oklahoma,2,,32,30,14,,20.5,7,113,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",34.2044,-97.1018,
-104.944705,39.801794,208,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY EAST,Colorado,4,,8.5,9.5,,,11,,11,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8018,-104.9447,
-122.255632,38.0434740000001,209,342,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,RODEO,California,5,,93.2,,69,,34,13.8,27.5,51,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.0435,-122.2556,
-118.243473,33.8108560000001,210,343,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WILMINGTON,California,5,,83.4,51.6,27.5,,36.2,35.8,150.7,53.2,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.8109,-118.2435,
-97.484505,27.816758,211,351,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,CORPUS CHRISTI,Texas,3,,91,95.5,51,,50,40.5,293.5,19,30.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8168,-97.4845,
-78.629424,41.9667150000001,212,353,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,BRADFORD,Pennsylvania,1,,,,,,2.2,0.8,8.7,,0.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.9667,-78.6294,
-104.213903,43.8485210000001,213,356,WYOMING REFINING CO,PAR PETROLEUM INC,NEWCASTLE,Wyoming,4,,,7.5,,,4,1.3,10,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",43.8485,-104.2139,
-115.617898,38.6214860000001,214,362,FORELAND REFINING CORP,FORELAND REFINING CORP,ELY,Nevada,5,,2.8,,,,,,,,1.6,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.6215,-115.6179,
-158.0914,21.303769,215,363,PAR HAWAII REFINING LLC,PAR PETROLEUM INC,KAPOLEI,Hawaii,5,,40,,20,11,13.5,,13,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",21.3038,-158.0914,
-87.9288769999999,37.906028,216,381,COUNTRYMARK REFINING & LOGISTICS LLC,COUNTRYMARK COOP INC,MOUNT VERNON,Indiana,2,,14.5,9,,,6.5,5.9,34.5,,3.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.906,-87.9289,
-92.712123,33.363209,217,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,SMACKOVER,Arkansas,3,,3.9,,,,,,6,,0.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.3632,-92.7121,
-95.126797,29.7314410000001,218,385,DEER PARK REFINING LP,PEMEX,DEER PARK,Texas,3,,180,80.1,60,,68.5,21,328.6,96,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7314,-95.1268,
-101.880991,35.95563,219,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,SUNRAY,Texas,3,,50,56,29,,47,12.8,131.5,,12,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.9556,-101.881,
-98.1882649999999,28.45921,220,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,THREE RIVERS,Texas,3,,33.5,23.8,28,,33.5,10,83,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",28.4592,-98.1883,
-104.946497,39.8033110000001,221,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY WEST,Colorado,4,,25,21,,,10.9,,76.4,,13.2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8033,-104.9465,
