Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Plant FIPS state code,Plant FIPS county code,Plant county name,Plant annual net generation (MWh)
NC,"SoINCPower6, LLC",59856,37,73,Gates,8870.00
NC,"SoINCPower5, LLC",59857,37,127,Nash,10807.00
RI,Johnston Solar,59858,44,7,Providence,1645.00
VA,HP Hood CT,59860,51,69,Frederick,93312.00
IN,Twin Branch PV,59861,18,141,St Joseph,3963.00
GA,Fort Benning Solar Facility,59862,13,53,Chattahoochee,48077.00
GA,Fort Gordon Solar Facility,59863,13,245,Richmond,56403.00
GA,Kings Bay Solar Facility,59864,13,39,Camden,47450.00
GA,Fort Stewart Solar Facility,59865,13,179,Liberty,47724.00
MA,Palmer Solar LLC,59866,25,13,Hampden,
FL,Lockheed Martin Solar System,59867,12,103,Pinellas,3041.00
CA,Kingbird A Solar LLC,59868,6,29,Kern,59235.00
CA,"Little Bear Solar 1, LLC",59870,6,19,Fresno,93133.00
CA,UC Davis South Campus,59872,6,113,Yolo,28547.00
MA,Lowell Solar Landfill,59873,25,17,Middlesex,1287.00
GA,Richland Solar Center,59874,13,289,Twiggs,38651.00
MN,Marshall Solar Energy Project,59875,27,83,Lyon,97314.00
GA,Marine Corps Logistics Base Solar,59876,13,95,Dougherty,55514.00
CA,Riverside RWQCP Fuel Cell,59877,6,65,Riverside,8637.00
CA,Windhub Solar A LLC,59878,6,29,Kern,50112.00
CA,North Rosamond Solar LLC,59879,6,29,Kern,349863.00
NY,Kings Park Solar I,59880,36,103,Suffolk,3737.00
NY,Kings Park Solar II,59881,36,103,Suffolk,3737.00
MA,Exelon West Medway II,59882,25,21,Norfolk,190906.00
NC,"Beaufort Solar, LLC",59887,37,13,Beaufort,28448.00
KS,Bloom Wind,59888,20,57,Ford,621354.00
GA,Butler Solar Farm 20,59891,13,269,Taylor,39461.00
GA,Pawpaw Solar Plant,59894,13,269,Taylor,64417.00
GA,Butler Solar Project 103,59896,13,269,Taylor,214076.00
GA,Taylor County Solar,59897,13,269,Taylor,268978.00
NC,"SunEnergy1-Scotland Neck, LLC",59898,37,83,Halifax,5781.00
NC,"Choco Solar, LLC",59899,37,13,Beaufort,10322.00
CA,Corcoran Solar 3,59900,6,31,Kings,50222.00
NC,Albertson Solar LLC,59901,37,61,Duplin,7746.00
IL,Cardinal Point Wind,59902,17,109,McDonough,580725.00
ND,New Frontier Wind,59903,38,49,McHenry,413682.00
VA,Western Branch High School,59904,51,550,Chesapeake City,1404.00
VA,Merck,59905,51,165,Rockingham,2482.00
PA,Moxie Freedom Generation Plant,59906,42,79,Luzerne,7252858.00
NC,Mount Olive Solar,59908,37,191,Wayne,3372.00
NJ,"KDC Solar PR1, LLC",59910,34,29,Ocean,28892.00
VA,Philip Morris,59911,51,41,Chesterfield,3088.00
NC,Freemont Solar Center LLC,59912,37,109,Lincoln,8432.00
VA,Greensville County Power Station,59913,51,81,Greensville,11513187.00
NC,Crestwood Solar Center LLC,59914,37,77,Granville,7743.00
CA,Oro Loma,59915,6,19,Fresno,50700.00
CA,SunE- E Philadelphia Ontario,59916,6,71,San Bernardino,1753.00
NC,Pollocksville Solar,59917,37,103,Jones,8558.00
NV,Nellis Solar PV II,59919,32,3,Clark,36357.00
NC,Lillington Solar,59921,37,85,Harnett,9790.00
DE,South Campus Solar,59922,10,3,New Castle,1578.00
MI,Alpine Power Plant,59926,26,137,Otsego,855186.00
MA,Hunt Road Solar,59927,25,9,Essex,7439.00
NC,"Vance Solar Farm, LLC",59928,37,181,Vance,8799.00
NC,"Cline Solar Farm, LLC",59929,37,23,Burke,8349.00
NC,"BG Stewart Solar Farm, LLC",59930,37,179,Union,8707.00
WI,FCPC Renewable Generation,59931,55,79,Milwaukee,5242.00
UT,Fiddler's Canyon 3,59932,49,21,Iron,7103.00
NC,Soluga Farms IV,59934,37,51,Cumberland,6447.00
NC,Meadowbrook Solar Farm,59936,37,159,Rowan,9656.00
NC,"Coats Solar Farm, LLC",59937,37,85,Harnett,9418.00
TX,Sky Global Power One,59938,48,89,Colorado,51200.00
CA,RE Tranquillity,59939,6,19,Fresno,486592.00
CA,"Great Valley Solar Portfolio Holdings, LLC",59940,6,19,Fresno,533607.00
UT,"Iron Springs Solar, LLC",59941,49,21,Iron,205997.00
CA,Morgan Lancaster 1,59942,6,37,Los Angeles,2764.00
TX,Rattlesnake Den,59943,48,173,Glasscock,685735.00
NC,"Conetoe II Solar, LLC",59944,37,65,Edgecombe,152900.00
UT,"Granite Mountain Solar West, LLC",59945,49,21,Iron,125093.00
UT,"Granite Mountain Solar East, LLC",59946,49,21,Iron,208627.00
AR,SR Camden,59947,5,13,Calhoun,23392.00
CA,Bakersfield 111,59948,6,29,Kern,2753.00
MD,AES Warrior Run Energy Storage Project,59949,24,1,Allegany,-2127.00
NC,Yadkinville Solar,59950,37,197,Yadkin,6215.00
NC,Five Forks Solar,59951,37,185,Warren,41463.00
CA,Potrero Hills Energy Producers,59952,6,95,Solano,59572.00
NH,Antrim Wind,59953,33,11,Hillsborough,78054.00
FL,Osceola Solar Facility,59954,12,97,Osceola,5822.00
NC,ESA Smithfield,59955,37,101,Johnston,2860.00
NC,ESA Selma,59956,37,101,Johnston,2706.00
IL,Grand Ridge Battery Projects,59957,17,99,LaSalle,-6751.00
UT,Milford 2,59958,49,1,Beaver,7019.00
IL,Elwood Energy Storage Center,59959,17,43,DuPage,-869.00
IL,Jake Energy Storage Center,59960,17,197,Will,-293.00
CA,Western Antelope Blue Sky B,59961,6,37,Los Angeles,54672.00
CA,North Lancaster Ranch,59962,6,37,Los Angeles,35159.00
CA,Central Antelope Dry Ranch C,59963,6,37,Los Angeles,34915.00
CA,Elevation Solar C,59964,6,37,Los Angeles,109280.00
UT,Latigo Wind Park,59965,49,37,San Juan,160731.00
NC,Camp Lejeune Solar,59966,37,133,Onslow,18193.00
CT,Pepperidge Farm Bloomfield,59967,9,3,Hartford,
NC,"Desert Wind Farm, LLC",59968,37,143,Perquimans,505164.00
TX,Bearkat,59972,48,173,Glasscock,596500.00
FL,Walt Disney World Solar Facility,59973,12,95,Orange,8152.00
CO,Golden West Power Partners LLC,59974,8,41,El Paso,815598.00
CO,Carousel Wind Farm LLC,59975,8,63,Kit Carson,606121.00
CA,RE Astoria,59976,6,29,Kern,300528.00
CA,RE Astoria 2,59977,6,29,Kern,229793.00
CA,"Adapture CA2, LLC",59978,6,21,Glenn,3223.00
CA,"Columbia Solar Energy, LLC",59979,6,13,Contra Costa,32565.00
MA,Mashpee Landfill Solar,59980,25,1,Barnstable,2316.00
IN,New Castle Solar RES,59981,18,65,Henry,1409.00
IN,Scotland Solar RES,59982,18,55,Greene,848.00
IN,New Haven Solar RES,59983,18,147,Spencer,1844.00
IN,Lanesville Solar RES,59984,18,61,Harrison,943.00
IN,Ellettsville Solar RES,59985,18,105,Monroe,1313.00
IN,Henryville Solar RES,59986,18,19,Clark,1741.00
IN,Spring Mill Solar RES,59987,18,93,Lawrence,1621.00
IN,Decatur Co. Solar RES (IN),59988,18,31,Decatur,1638.00
IN,Jackson Co. Solar RES,59989,18,71,Jackson,1811.00
IN,Johnson Co. Solar RES,59990,18,81,Johnson,1689.00
FL,Babcock Solar Energy Center Hybrid,59993,12,15,Charlotte,156550.00
TX,RE Roserock,59994,48,371,Pecos,347715.00
WV,AEP Milton NaS,59995,54,11,Cabell,0.00
NC,Boykin PV1,59996,37,51,Cumberland,35367.00
NC,Ouchchy PV1,59999,37,135,Orange,5237.00
NC,Turkey Creek PV1,60000,37,131,Northampton,19897.00
NC,Vaughn Creek PV1,60001,37,91,Hertford,42936.00
NY,Clarkstown Landfill Solar Facility,60004,36,87,Rockland,2712.00
FL,Daytona International Speedway Solar,60005,12,127,Volusia,1327.00
FL,FIU Solar,60006,12,86,Miami Dade,673.00
CA,Morelos del Sol,60007,6,29,Kern,35366.00
CO,Hooper Solar,60008,8,3,Alamosa,106355.00
ID,Murphy Flat Solar,60009,16,73,Owyhee,43897.00
ID,Orchard Ranch Solar,60010,16,1,Ada,46297.00
ID,American Falls Solar,60011,16,77,Power,45392.00
ID,American Falls Solar II,60012,16,77,Power,46786.00
OK,"Grant Wind, LLC",60013,40,53,Grant,557004.00
