State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
31,173,Thurston,NE,Nebraska,p40,MROWc
38,99,Walsh,ND,North Dakota,p37,MROWc
55,9,Brown,WI,Wisconsin,p75,MROEc
17,163,St. Clair,IL,Illinois,p81,SRMWc
55,61,Kewaunee,WI,Wisconsin,p75,MROEc
26,69,Iosco,MI,Michigan,p103,RFCMc
42,91,Montgomery,PA,Pennsylvania,p122,RFCEc
13,307,Webster,GA,Georgia,p94,SRSOc
47,41,DeKalb,TN,Tennessee,p92,SRTVc
29,11,Barton,MO,Missouri,p55,SPNOc
17,171,Scott,IL,Illinois,p81,SRMWc
47,173,Union,TN,Tennessee,p92,SRTVc
29,199,Scotland,MO,Missouri,p71,SRMWc
21,7,Ballard,KY,Kentucky,p93,SRTVc
54,41,Lewis,WV,West Virginia,p116,RFCWc
8,93,Park,CO,Colorado,p33,RMPAc
48,421,Sherman,TX,Texas,p48,SPSOc
30,5,Blaine,MT,Montana,p18,NWPPc
51,520,Bristol,VA,Virginia,p118,RFCWc
13,169,Jones,GA,Georgia,p94,SRSOc
27,59,Isanti,MN,Minnesota,p43,MROWc
31,41,Custer,NE,Nebraska,p40,MROWc
48,7,Aransas,TX,Texas,p65,ERCTc
55,141,Wood,WI,Wisconsin,p76,MROEc
26,139,Ottawa,MI,Michigan,p103,RFCMc
41,41,Lincoln,OR,Oregon,p5,NWPPc
20,165,Rush,KS,Kansas,p53,SPNOc
55,125,Vilas,WI,Wisconsin,p75,MROEc
51,155,Pulaski,VA,Virginia,p118,RFCWc
50,27,Windsor,VT,Vermont,p129,NEWEc
42,101,Philadelphia,PA,Pennsylvania,p122,RFCEc
13,209,Montgomery,GA,Georgia,p94,SRSOc
18,33,DeKalb,IN,Indiana,p105,RFCWc
47,185,White,TN,Tennessee,p92,SRTVc
20,99,Labette,KS,Kansas,p53,SPNOc
29,45,Clark,MO,Missouri,p71,SRMWc
13,27,Brooks,GA,Georgia,p94,SRSOc
55,107,Rusk,WI,Wisconsin,p46,MROWc
55,79,Milwaukee,WI,Wisconsin,p79,RFCWc
20,175,Seward,KS,Kansas,p53,SPNOc
28,1,Adams,MS,Mississippi,p87,SRMVc
18,51,Gibson,IN,Indiana,p107,RFCWc
19,115,Louisa,IA,Iowa,p70,MROWc
21,127,Lawrence,KY,Kentucky,p110,RFCWc
