eGRID_subregion,NERC_Acronym,BA_Code,BA_Name,STATE_FIPS,COUNTY_FIPS
AZNM,WECC,AZPS,Arizona Public Service Company,04,025
AZNM,WECC,AZPS,Arizona Public Service Company,04,007
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,025
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,003
AZNM,WECC,TEPC,Tucson Electric Power Company,04,003
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,023
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,TEPC,Tucson Electric Power Company,04,001
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,003
CAMX,WECC,CISO,California Independent System Operator,04,013
CAMX,WECC,CISO,California Independent System Operator,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,021
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,021
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,021
AZNM,WECC,TEPC,Tucson Electric Power Company,04,023
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,021
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,021
AZNM,WECC,AZPS,Arizona Public Service Company,04,001
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,027
AZNM,WECC,AZPS,Arizona Public Service Company,04,027
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,115
SPSO,SERC,SWPP,Southwest Power Pool,05,081
SPSO,MRO,SPA,Southwestern Power Administration,05,015
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,051
SPSO,SERC,SWPP,Southwest Power Pool,05,047
SPSO,MRO,SPA,Southwestern Power Administration,05,089
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,147
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,051
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,017
SRMV,MRO,SWPP,Southwest Power Pool,05,083
SPSO,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,031
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,041
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,041
SPSO,MRO,SPA,Southwestern Power Administration,05,115
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,019
SRMW,SERC,AECI,"Associated Electric Cooperative, Inc.",05,093
SPSO,SERC,SWPP,Southwest Power Pool,05,143
SPSO,SERC,SWPP,Southwest Power Pool,05,033
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,125
SPSO,MRO,SWPP,Southwest Power Pool,05,007
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,123
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,123
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,119
SPSO,SERC,SWPP,Southwest Power Pool,05,057
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,103
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,003
SPSO,MRO,SPA,Southwestern Power Administration,05,023
SPSO,MRO,SWPP,Southwest Power Pool,05,143
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,059
SRMV,SERC,SWPP,Southwest Power Pool,05,051
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,063
SPSO,MRO,SWPP,Southwest Power Pool,05,057
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,059
SRMV,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,033
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,059
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,103
SRMV,SERC,SPA,Southwestern Power Administration,05,021
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,119
SPSO,SERC,SWPP,Southwest Power Pool,05,109
SPSO,MRO,SWPP,Southwest Power Pool,05,143
SPSO,MRO,SPA,Southwestern Power Administration,05,005
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,093
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,119
SPSO,MRO,SPA,Southwestern Power Administration,05,047
SPSO,MRO,SWPP,Southwest Power Pool,05,143
SPSO,MRO,SPA,Southwestern Power Administration,05,055
SPSO,MRO,SPA,Southwestern Power Administration,05,055
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,069
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,069
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,093
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,059
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,001
SPSO,SERC,SPA,Southwestern Power Administration,05,071
SRMV,SERC,SWPP,Southwest Power Pool,05,071
SRMV,SERC,SPA,Southwestern Power Administration,05,013
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,001
SPSO,SERC,SWPP,Southwest Power Pool,05,047
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,119
SPSO,SERC,SWPP,Southwest Power Pool,05,143
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,139
SPSO,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,143
SPSO,MRO,SWPP,Southwest Power Pool,05,143
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,029
SRMV,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",05,069
SRMV,SERC,SPA,Southwestern Power Administration,05,063
SRMV,SERC,SPA,Southwestern Power Administration,05,063
SRMV,SERC,SPA,Southwestern Power Administration,05,137
CAMX,WECC,LDWP,Los Angeles Department of Water and Power,06,037
CAMX,WECC,LDWP,Los Angeles Department of Water and Power,06,037
CAMX,WECC,CISO,California Independent System Operator,06,019
CAMX,WECC,CISO,California Independent System Operator,06,047
CAMX,WECC,CISO,California Independent System Operator,06,007
CAMX,WECC,LDWP,Los Angeles Department of Water and Power,06,037
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,039
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,111
NWPP,WECC,PACW,PacifiCorp - West,06,021
CAMX,WECC,CISO,California Independent System Operator,06,071
CAMX,WECC,LDWP,Los Angeles Department of Water and Power,06,071
CAMX,WECC,CISO,California Independent System Operator,06,071
CAMX,WECC,CISO,California Independent System Operator,06,039
CAMX,WECC,CISO,California Independent System Operator,06,085
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,065
CAMX,WECC,CISO,California Independent System Operator,06,053
CAMX,WECC,BANC,Balancing Authority of Northern California,06,067
CAMX,WECC,BANC,Balancing Authority of Northern California,06,067
CAMX,WECC,LDWP,Los Angeles Department of Water and Power,06,037
CAMX,WECC,CISO,California Independent System Operator,06,037
CAMX,WECC,CISO,California Independent System Operator,06,037
CAMX,WECC,CISO,California Independent System Operator,06,037
CAMX,WECC,CISO,California Independent System Operator,06,059
CAMX,WECC,CISO,California Independent System Operator,06,059
CAMX,WECC,CISO,California Independent System Operator,06,037
CAMX,WECC,CISO,California Independent System Operator,06,085
CAMX,WECC,CISO,California Independent System Operator,06,085
CAMX,WECC,CISO,California Independent System Operator,06,071
CAMX,WECC,CISO,California Independent System Operator,06,097
CAMX,WECC,CISO,California Independent System Operator,06,001
CAMX,WECC,CISO,California Independent System Operator,06,037
CAMX,WECC,CISO,California Independent System Operator,06,071
CAMX,WECC,CISO,California Independent System Operator,06,019
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,029
CAMX,WECC,CISO,California Independent System Operator,06,059
CAMX,WECC,TIDC,Turlock Irrigation District,06,099
CAMX,WECC,CISO,California Independent System Operator,06,107
CAMX,WECC,CISO,California Independent System Operator,06,107
