state,country,t,co2_gen_mmt,nuclear_MWh,coal_MWh,o-g-s_MWh,gas-cc_MWh,gas-ct_MWh,hydro_MWh,canada_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,battery_MWh,curtailment_MWh,nuclear_MW,coal_MW,o-g-s_MW,gas-cc_MW,gas-ct_MW,hydro_MW,geothermal_MW,biomass_MW,wind-ons_MW,wind-ofs_MW,csp_MW,upv_MW,distpv_MW,battery_MW,nuclear_gen_frac,canada_gen_frac,o-g-s_gen_frac,biomass_gen_frac,gas-ct_gen_frac,wind-ofs_gen_frac,upv_gen_frac,wind-ons_gen_frac,coal_gen_frac,geothermal_gen_frac,distpv_gen_frac,gas-cc_gen_frac,csp_gen_frac,hydro_gen_frac,water_consumption,water_withdrawal,generation_MWh
OK,usa,2010,0.039352733,0,28.26800509,0,21.68797154,0.04891516,3.175298886,0,0,0,3.89470914,0,0,0,0,0,0,0,5.2405,5.194,6.6,1.2607,0.8552,0,0,1.482005,0,0,0,0,0.26,0,0,0,0,0.000857035,0,0,0.068238563,0.495279101,0,0,0.379991408,0,0.055633893,22.90541482,141.9065801,57.07489981
OR,usa,2010,0.008183649,0,4.3354116,0,9.547014499,0.007850657,26.01829032,0,0,0.555144003,5.525530308,0,0,0.002989589,0.002429751,0,0,0,0.585,0.023,2.9027,0.155099,6.641544,0,0.0878,2.102561,0,0,0.001373636,0.005461476,0,0,0,0,0.012069749,0.000170686,0,6.50E-05,0.120134168,0.094259019,0,5.28E-05,0.207567886,0,0.565680666,4.570089346,55.81667747,45.99466072
PA,usa,2010,0.131674745,74.507531,121.8380927,0,24.64286256,0.192296317,2.507375283,0,0,2.114521853,1.9596996,0,0,0.013953124,0.001610841,0,0,9.425339,17.7089,2.951758,8.079578397,3.1728,0.79152,0,0.43774,0.7457,0,0,0.007727273,0.003004754,1.491,0.327105996,0,0,0.00928326,0.000844227,0,6.13E-05,0.008603553,0.534898555,0,7.07E-06,0.108188099,0,0.011007981,117.8559877,1988.289946,227.7779433
RI,usa,2010,0.003242864,0,0,0.006289009,7.685227479,0,0.011069279,0,0,0.060284984,0.00220752,0,0,0,0,0,0,0,0,0.00671,1.72524,0,0.003782,0,0.013171,0.00084,0,0,0,0,0,0,0,0.000809909,0.007763603,0,0,0,0.000284288,0,0,0,0.989716679,0,0.001425521,1.331440708,28.17207206,7.76507827
SC,usa,2010,0.039541477,51.82691835,34.94327167,0,9.713802926,0.137959608,2.357449825,0,0,1.215044675,0,0,0,1.89E-05,0,-0.006742751,0,6.5562,6.9372,0.2209,2.2957,3.55566,1.33624,0,0.1759,0,0,0,9.09E-06,0,2.716,0.517263283,0,0,0.012126864,0.001376918,0,1.89E-07,0,0.348754508,0,0,0.096949496,0,0.023528743,36.32719121,2282.894267,100.1944659
SD,usa,2010,0.003819369,0,3.620562178,0,0,0,4.535770109,0,0,0,1.488105,0,0,0,0,0,0,0,0.4966,0.03633,0,0.851,1.594,0,0,0.56625,0,0,0,0,0,0,0,0,0,0,0,0,0.154296716,0.375404191,0,0,0,0,0.470299093,2.491861986,3.643200759,9.644437287
TN,usa,2010,0.022126084,26.88261512,20.24786532,0,3.654485296,0.15905672,9.159354887,0,0,0.041636385,0.0756864,0,0,0.002065233,6.22E-05,-0.271104406,0,3.4007,8.365,0.0576,0.54,4.0994,2.56513,0,0.008,0.0288,0,0,0.001090909,0.000104331,1.6163,0.446385801,0,0,0.000691372,0.002641137,0,3.43E-05,0.001256773,0.336215786,0,1.03E-06,0.060682725,0,0.15209108,23.8929319,766.5605451,60.22282758
TX,usa,2010,0.241869324,39.37492454,158.5281359,11.11416205,163.7880208,0.345402597,1.145989496,0,0,0.47006817,26.56168218,0,0,0.027273043,0.000866935,0,0,4.981,23.31596863,22.2948,36.22389403,6.848113,0.6851,0,0.1027,10.107185,0,0,0.013190909,0.001220316,0.001,0.098104608,0,0.027691495,0.001171199,0.000860588,0,6.80E-05,0.066179769,0.394980836,0,2.16E-06,0.408086104,0,0.002855291,153.2882791,1735.519179,401.3565257
UT,usa,2010,0.037242399,0,35.66815615,0,1.748225048,0.019558694,0.786110483,0,0.312735274,0.040919274,0.588672,0,0,0,0,0,0,0,4.813185556,0.258406,1.227,0.53975,0.2675,0.042,0.00894,0.224,0,0,0,0,0.0001,0,0,0,0.001044809,0.0004994,0,0,0.015030802,0.91072957,0.007985197,0,0.044638143,0,0.020072079,24.83635043,36.25652722,39.16437693
VA,usa,2010,0.045962835,27.38122451,36.65873721,0.028312019,19.4388117,0.545130853,1.488916373,0,0,1.543804759,0,0,0,1.46E-05,0,-0.084829649,0,3.463775,5.543511111,2.066839,3.3739,4.5291,0.861465,0,0.28672,0,0,0,7.27E-06,0,3.241,0.3144197,0,0.000325108,0.017727572,0.006259759,0,1.68E-07,0,0.420953751,0,0,0.223216655,0,0.017097286,25.36283122,2063.079658,87.08495204
