Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,IN,Wabash River Highland Plant,57842,1,Wabash River Highland Plant 1,Vigo County,57842|1|Midwest,56348.75,617830.587,0.007622007,0.002942121,0.001973751
Midwest,IN,Grain Processing Corporation,880108,BLR1,Grain Processing Corporation BLR1,Daviess County,880108|BLR1|Midwest,0,610706.2,0,0,0
Midwest,IN,Grain Processing Corporation,880108,BLR2,Grain Processing Corporation BLR2,Daviess County,880108|BLR2|Midwest,0,616188.3,0,0,0
Midwest,KY,E W Brown,1355,1,E W Brown 1,Mercer County,1355|1|Midwest,0,0,0.001563372,0.002453352,0.000120585
Midwest,KY,E W Brown,1355,2,E W Brown 2,Mercer County,1355|2|Midwest,0,0,0.022671436,0.002463683,9.97E-05
Midwest,KY,E W Brown,1355,3,E W Brown 3,Mercer County,1355|3|Midwest,1087442.86,11659652.36,0.010414717,0.002575965,9.97E-05
Midwest,KY,E W Brown,1355,5,E W Brown 5,Mercer County,1355|5|Midwest,18168.71,261309.69,0.005493241,0.00200527,0.006576566
Midwest,KY,E W Brown,1355,6,E W Brown 6,Mercer County,1355|6|Midwest,68579.14,760976.084,0.005499035,0.006113059,0.006576566
Midwest,KY,E W Brown,1355,7,E W Brown 7,Mercer County,1355|7|Midwest,51380.6,570952.782,0.005503691,0.01280393,0.006576566
Midwest,KY,E W Brown,1355,8,E W Brown 8,Mercer County,1355|8|Midwest,11652.81,151171.104,0.005554688,0.001991243,0.006576566
Midwest,KY,E W Brown,1355,9,E W Brown 9,Mercer County,1355|9|Midwest,10311.42,126367.988,0.00550787,0.002002132,0.006576566
Midwest,KY,E W Brown,1355,10,E W Brown 10,Mercer County,1355|10|Midwest,9493.03,123280.706,0.005519677,0.002004702,0.006576566
Midwest,KY,E W Brown,1355,11,E W Brown 11,Mercer County,1355|11|Midwest,8155.76,108280.771,0.00613016,0.001876753,0.006576566
Midwest,KY,Ghent,1356,1,Ghent 1,Carroll County,1356|1|Midwest,2929928.04,27871685.19,0.001425087,0.002565603,0.002207644
Midwest,KY,Ghent,1356,2,Ghent 2,Carroll County,1356|2|Midwest,2762473.02,26183411.03,0.002850174,0.002836976,0.002207644
Midwest,KY,Ghent,1356,3,Ghent 3,Carroll County,1356|3|Midwest,3116330.34,29476557.21,0.002850174,0.002781548,0.000940442
Midwest,KY,Ghent,1356,4,Ghent 4,Carroll County,1356|4|Midwest,2821422.54,27153915.77,0.003206446,0.002665634,0.000940442
Midwest,KY,Cane Run,1363,7A,Cane Run 7A,Jefferson County,1363|7A|Midwest,2399005.12,16307109.51,0.000842927,0.004214641,0.000915579
Midwest,KY,Cane Run,1363,7B,Cane Run 7B,Jefferson County,1363|7B|Midwest,2439107.95,16503079.97,0.000837095,0.004185479,0.000909244
Midwest,KY,Mill Creek,1364,1,Mill Creek 1,Jefferson County,1364|1|Midwest,1510130.95,13257899.6,0.022119769,0.002666393,3.45E-05
Midwest,KY,Mill Creek,1364,2,Mill Creek 2,Jefferson County,1364|2|Midwest,1241190.99,10979724.38,0.022120314,0.00261933,2.97E-05
Midwest,KY,Mill Creek,1364,3,Mill Creek 3,Jefferson County,1364|3|Midwest,2317820.32,22689194.69,0.020529621,0.002683555,0.001388574
Midwest,KY,Mill Creek,1364,4,Mill Creek 4,Jefferson County,1364|4|Midwest,3059134.26,29863290.98,0.023180154,0.002603579,0.001346491
Midwest,KY,Paddy's Run,1366,12,Paddy's Run 12,Jefferson County,1366|12|Midwest,0,4380,0,0,0
Midwest,KY,Paddy's Run,1366,13,Paddy's Run 13,Jefferson County,1366|13|Midwest,38046.25,427276.625,0.000726226,0.002118154,0.000459942
