Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
Midwest,MI,Holland Energy Park,59093,10,Holland Energy Park 10,Ottawa County,179028.49
Midwest,MI,Holland Energy Park,59093,11,Holland Energy Park 11,Ottawa County,164935.26
Mid-Atlantic,MD,Wildcat Point Generation Facility,59220,CT1,Wildcat Point Generation Facility CT1,Cecil County,0
Mid-Atlantic,MD,Wildcat Point Generation Facility,59220,CT2,Wildcat Point Generation Facility CT2,Cecil County,0
Carolinas,NC,Kings Mountain Energy Center,59325,ES-1,Kings Mountain Energy Center ES-1,Cleveland County,0
Mid-Atlantic,OH,Middletown Energy Center,59326,1,Middletown Energy Center 1,Butler County,0
Mid-Atlantic,OH,Oregon Clean Energy Center,59764,01,Oregon Clean Energy Center 01,Lucas County,1361911.5
Mid-Atlantic,OH,Oregon Clean Energy Center,59764,02,Oregon Clean Energy Center 02,Lucas County,1403481.13
Mid-Atlantic,OH,Carroll County Energy,59773,1,Carroll County Energy 1,Carroll County,221484.89
Mid-Atlantic,OH,Carroll County Energy,59773,2,Carroll County Energy 2,Carroll County,208275.47
Texas,TX,Wolf Hollow II,59812,CGT4,Wolf Hollow II CGT4,Hood County,1891506.16
Texas,TX,Wolf Hollow II,59812,CGT5,Wolf Hollow II CGT5,Hood County,1936215.74
New England,MA,Exelon West Medway II,59882,J4,Exelon West Medway II J4,Norfolk County,0
New England,MA,Exelon West Medway II,59882,J5,Exelon West Medway II J5,Norfolk County,0
Mid-Atlantic,PA,Moxie Freedom Generation Plant,59906,201,Moxie Freedom Generation Plant 201,Luzerne County,0
Mid-Atlantic,PA,Moxie Freedom Generation Plant,59906,202,Moxie Freedom Generation Plant 202,Luzerne County,0
Mid-Atlantic,VA,Greensville County Power Station,59913,1A,Greensville County Power Station 1A,Greensville County,0
Mid-Atlantic,VA,Greensville County Power Station,59913,1B,Greensville County Power Station 1B,Greensville County,0
Mid-Atlantic,VA,Greensville County Power Station,59913,1C,Greensville County Power Station 1C,Greensville County,0
Midwest,MI,Alpine Power Plant,59926,AL1,Alpine Power Plant AL1,Otsego County,238105.7
Midwest,MI,Alpine Power Plant,59926,AL2,Alpine Power Plant AL2,Otsego County,244057.41
Texas,TX,Colorado Bend II,60122,CT7,Colorado Bend II CT7,Wharton County,1599735.47
Texas,TX,Colorado Bend II,60122,CT8,Colorado Bend II CT8,Wharton County,1595266.13
Texas,TX,Bacliff Generating Station,60264,BCGT1,Bacliff Generating Station BCGT1,Galveston County,1536.55
Texas,TX,Bacliff Generating Station,60264,BCGT2,Bacliff Generating Station BCGT2,Galveston County,1254.4
Texas,TX,Bacliff Generating Station,60264,BCGT3,Bacliff Generating Station BCGT3,Galveston County,347.79
Texas,TX,Bacliff Generating Station,60264,BCGT4,Bacliff Generating Station BCGT4,Galveston County,378.57
Texas,TX,Bacliff Generating Station,60264,BCGT5,Bacliff Generating Station BCGT5,Galveston County,528.91
Texas,TX,Bacliff Generating Station,60264,BCGT6,Bacliff Generating Station BCGT6,Galveston County,383.69
Mid-Atlantic,MD,Keys Energy Center,60302,11,Keys Energy Center 11,Prince George's County,0
Mid-Atlantic,MD,Keys Energy Center,60302,12,Keys Energy Center 12,Prince George's County,0
Southeast,GA,Albany Green Energy LLC,60340,B0004,Albany Green Energy LLC B0004,Dougherty County,0
Florida,FL,Okeechobee Clean Energy Center,60345,OCEC1A,Okeechobee Clean Energy Center OCEC1A,Okeechobee County,0
Florida,FL,Okeechobee Clean Energy Center,60345,OCEC1B,Okeechobee Clean Energy Center OCEC1B,Okeechobee County,0
Florida,FL,Okeechobee Clean Energy Center,60345,OCEC1C,Okeechobee Clean Energy Center OCEC1C,Okeechobee County,0
Mid-Atlantic,OH,"South Field Energy, LLC",60356,1,"South Field Energy, LLC 1",Columbiana County,0
Mid-Atlantic,OH,"South Field Energy, LLC",60356,2,"South Field Energy, LLC 2",Columbiana County,0
Mid-Atlantic,PA,Lackawanna Energy Center,60357,1,Lackawanna Energy Center 1,Lackawanna County,0
Mid-Atlantic,PA,Lackawanna Energy Center,60357,2,Lackawanna Energy Center 2,Lackawanna County,0
Mid-Atlantic,PA,Lackawanna Energy Center,60357,3,Lackawanna Energy Center 3,Lackawanna County,0
Mid-Atlantic,PA,Panda Hummel Station,60368,CT1,Panda Hummel Station CT1,Snyder County,0
Mid-Atlantic,PA,Panda Hummel Station,60368,CT2,Panda Hummel Station CT2,Snyder County,0
Mid-Atlantic,PA,Panda Hummel Station,60368,CT3,Panda Hummel Station CT3,Snyder County,0
Mid-Atlantic,OH,"Clean Energy Future - Lordstown, LLC",60376,1,"Clean Energy Future - Lordstown, LLC 1",Trumbull County,0
Mid-Atlantic,OH,"Clean Energy Future - Lordstown, LLC",60376,2,"Clean Energy Future - Lordstown, LLC 2",Trumbull County,0
Texas,TX,Port Comfort Peaking Facility,60459,CT1,Port Comfort Peaking Facility CT1,Calhoun County,0
Texas,TX,Port Comfort Peaking Facility,60459,CT2,Port Comfort Peaking Facility CT2,Calhoun County,0
Texas,TX,"Chamon Power, LLC",60460,CT1,"Chamon Power, LLC CT1",Harris County,0
Texas,TX,"Chamon Power, LLC",60460,CT2,"Chamon Power, LLC CT2",Harris County,0
Mid-Atlantic,PA,Tenaska Westmoreland Generating Station,60464,101,Tenaska Westmoreland Generating Station 101,Westmoreland County,0
Mid-Atlantic,PA,Tenaska Westmoreland Generating Station,60464,102,Tenaska Westmoreland Generating Station 102,Westmoreland County,0
Texas,TX,Friendswood Energy Center,60468,CT-1,Friendswood Energy Center CT-1,Harris County,0
Mid-Atlantic,PA,"CPV Fairview, LLC",60589,CT-1,"CPV Fairview, LLC CT-1",Cambria County,0
Mid-Atlantic,PA,"CPV Fairview, LLC",60589,CT-2,"CPV Fairview, LLC CT-2",Cambria County,0
California,CA,Stanton Energy Reliability Center,60698,D1,Stanton Energy Reliability Center D1,Orange County,0
California,CA,Stanton Energy Reliability Center,60698,D7,Stanton Energy Reliability Center D7,Orange County,0
New England,MA,Salem Harbor Station NGCC,60903,1,Salem Harbor Station NGCC 1,Essex County,0
New England,MA,Salem Harbor Station NGCC,60903,2,Salem Harbor Station NGCC 2,Essex County,0
Texas,TX,NET Power La Porte Station,60910,1GT,NET Power La Porte Station 1GT,Harris County,0
Midwest,TX,Montgomery County Power Station,60925,CT1,Montgomery County Power Station CT1,Montgomery County,0
Midwest,TX,Montgomery County Power Station,60925,CT2,Montgomery County Power Station CT2,Montgomery County,0
Midwest,LA,St. Charles Power Station,60926,1A,St. Charles Power Station 1A,St. Charles Parish,0
Midwest,LA,St. Charles Power Station,60926,1B,St. Charles Power Station 1B,St. Charles Parish,0
Midwest,LA,Lake Charles Power Station,60927,1A,Lake Charles Power Station 1A,Calcasieu Parish,0
Midwest,LA,Lake Charles Power Station,60927,1B,Lake Charles Power Station 1B,Calcasieu Parish,0
