"","sourceTypeID","modelYearID","fuelTypeID","engTechID","fuelEngFraction"
"475","31",1947,"5","1",0
"476","31",1947,"9","30",0
"477","31",1948,"1","1",1
"478","31",1948,"2","1",0
"479","31",1948,"5","1",0
"480","31",1948,"9","30",0
"481","31",1949,"1","1",1
"482","31",1949,"2","1",0
"483","31",1949,"5","1",0
"484","31",1949,"9","30",0
"485","31",1950,"1","1",1
"486","31",1950,"2","1",0
"487","31",1950,"5","1",0
"488","31",1950,"9","30",0
"489","31",1951,"1","1",1
"490","31",1951,"2","1",0
"491","31",1951,"5","1",0
"492","31",1951,"9","30",0
"493","31",1952,"1","1",1
"494","31",1952,"2","1",0
"495","31",1952,"5","1",0
"496","31",1952,"9","30",0
"497","31",1953,"1","1",1
"498","31",1953,"2","1",0
"499","31",1953,"5","1",0
"500","31",1953,"9","30",0
"501","31",1954,"1","1",1
"502","31",1954,"2","1",0
"503","31",1954,"5","1",0
"504","31",1954,"9","30",0
"505","31",1955,"1","1",1
"506","31",1955,"2","1",0
"507","31",1955,"5","1",0
"508","31",1955,"9","30",0
"509","31",1956,"1","1",1
"510","31",1956,"2","1",0
"511","31",1956,"5","1",0
"512","31",1956,"9","30",0
"513","31",1957,"1","1",1
"514","31",1957,"2","1",0
"515","31",1957,"5","1",0
"516","31",1957,"9","30",0
"517","31",1958,"1","1",1
"518","31",1958,"2","1",0
"519","31",1958,"5","1",0
"520","31",1958,"9","30",0
"521","31",1959,"1","1",1
"522","31",1959,"2","1",0
"523","31",1959,"5","1",0
"524","31",1959,"9","30",0
"525","31",1960,"1","1",1
"526","31",1960,"2","1",0
"527","31",1960,"5","1",0
"528","31",1960,"9","30",0
"529","31",1961,"1","1",1
"530","31",1961,"2","1",0
"531","31",1961,"5","1",0
"532","31",1961,"9","30",0
"533","31",1962,"1","1",1
"534","31",1962,"2","1",0
"535","31",1962,"5","1",0
"536","31",1962,"9","30",0
"537","31",1963,"1","1",1
"538","31",1963,"2","1",0
"539","31",1963,"5","1",0
"540","31",1963,"9","30",0
"541","31",1964,"1","1",1
"542","31",1964,"2","1",0
"543","31",1964,"5","1",0
"544","31",1964,"9","30",0
"545","31",1965,"1","1",1
"546","31",1965,"2","1",0
"547","31",1965,"5","1",0
"548","31",1965,"9","30",0
"549","31",1966,"1","1",1
"550","31",1966,"2","1",0
"551","31",1966,"5","1",0
"552","31",1966,"9","30",0
"553","31",1967,"1","1",1
"554","31",1967,"2","1",0
"555","31",1967,"5","1",0
"556","31",1967,"9","30",0
"557","31",1968,"1","1",1
"558","31",1968,"2","1",0
"559","31",1968,"5","1",0
"560","31",1968,"9","30",0
"561","31",1969,"1","1",1
"562","31",1969,"2","1",0
"563","31",1969,"5","1",0
"564","31",1969,"9","30",0
"565","31",1970,"1","1",0.999903679312021
"566","31",1970,"2","1",9.6320687978579e-05
"567","31",1970,"5","1",0
"568","31",1970,"9","30",0
"569","31",1971,"1","1",0.999904043019311
"570","31",1971,"2","1",9.59569806887532e-05
"571","31",1971,"5","1",0
"572","31",1971,"9","30",0
"573","31",1972,"1","1",0.999904004951175
"574","31",1972,"2","1",9.59950488253933e-05
"575","31",1972,"5","1",0
"576","31",1972,"9","30",0
"577","31",1973,"1","1",0.999879750075726
"578","31",1973,"2","1",0.000120249924274266
"579","31",1973,"5","1",0
"580","31",1973,"9","30",0
"581","31",1974,"1","1",0.99985455097815
"582","31",1974,"2","1",0.000145449021849625
"583","31",1974,"5","1",0
"584","31",1974,"9","30",0
"585","31",1975,"1","1",0.99980549430096
"586","31",1975,"2","1",0.000194505699040434
"587","31",1975,"5","1",0
"588","31",1975,"9","30",0
"589","31",1976,"1","1",0.999803713283796
"590","31",1976,"2","1",0.000196286716203924
"591","31",1976,"5","1",0
"592","31",1976,"9","30",0
"593","31",1977,"1","1",0.999807742752488
"594","31",1977,"2","1",0.000192257247512449
"595","31",1977,"5","1",0
"596","31",1977,"9","30",0
"597","31",1978,"1","1",0.999616151542726
"598","31",1978,"2","1",0.000383848457274192
"599","31",1978,"5","1",0
"600","31",1978,"9","30",0
"601","31",1979,"1","1",0.999126527064397
"602","31",1979,"2","1",0.000873472935602747
"603","31",1979,"5","1",0
"604","31",1979,"9","30",0
"605","31",1980,"1","1",0.998210313171459
"606","31",1980,"2","1",0.00178968682854145
"607","31",1980,"5","1",0
"608","31",1980,"9","30",0
"609","31",1981,"1","1",0.998441610242078
"610","31",1981,"2","1",0.00155838975792207
"611","31",1981,"5","1",0
"612","31",1981,"9","30",0
"613","31",1982,"1","1",0.995433373208755
"614","31",1982,"2","1",0.00456662679124549
