Unit,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mt CO2,Switzerland,38.918813,39.387906,42.985846,38.506848,36.753441,38.581554,38.995933,40.108769,38.6529,39.262145,36.929691,34.94201,39.073131,38.547587,41.77273,41.673944,40.019383,39.87331,39.475012,40.747466,43.42036,43.595927,41.540098,40.483931,41.451234,42.215175,41.142274,42.641295,42.923073,41.984677,43.397514,41.883057,43.188018,43.534175,44.006757,43.629113,41.660479,43.113007,41.825778,43.257966,39.234013,40.665937,41.665708,37.868645,37.323113,37.851822,37.135572
Mt CO2,Turkey,41.736699,49.055633,52.754934,55.306318,59.631229,66.674617,72.221079,73.033463,67.555819,71.522558,71.126823,77.569191,83.281541,87.715162,95.358471,103.308135,113.729963,108.735235,120.704121,128.767185,131.78632,136.537119,142.539299,140.343028,154.030155,170.687558,178.338801,178.407405,178.068881,201.222491,182.686152,192.604715,203.147139,207.40141,215.892986,240.254878,266.198341,262.367012,261.278593,267.846219,287.198851,298.432784,285.18345,307.171546,318.973757,338.874454,378.63109
Mt CO2,United Kingdom,621.136913,602.249049,634.238978,595.189739,576.041678,582.095187,592.90971,591.088378,623.134969,570.574002,554.44485,541.404192,533.135429,516.151536,543.545262,558.074689,562.619047,561.12725,547.411859,549.390011,560.129215,547.520737,530.617893,523.225784,513.796422,533.808846,511.895623,514.529284,511.948885,520.562588,535.303236,521.177335,533.471636,533.390964,531.648669,532.89988,521.733018,507.897104,460.083887,476.626011,439.178828,461.442481,447.002723,408.662693,394.115172,372.557789,358.731281
Mt CO2,Albania,3.86277,4.446404,3.923777,4.11133,4.338334,4.677358,4.958544,5.619529,6.694873,6.811556,5.843743,6.10404,6.659463,7.213175,6.929926,6.951616,7.232079,7.160662,6.839342,5.67294,3.811206,2.137383,1.976262,2.033466,1.848549,1.863265,1.427657,1.759716,2.921647,3.083446,3.224186,3.750324,3.822396,4.00711,3.825184,3.792392,3.775922,3.708694,3.76623,3.930295,4.141866,3.484832,3.646202,4.123018,3.824801,3.674183,4.342011
Mt CO2,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.845219,20.68956,10.656529,4.918989,2.675926,3.368027,2.403509,3.15662,3.283226,2.931684,3.422249,3.458504,2.907291,3.275246,3.465509,4.129845,4.151024,4.797638,5.27332,4.269475,4.048253,4.672815,5.438573,5.243728,5.220168,4.70213,4.833071,5.165593
Mt CO2,Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.483702,52.059429,42.438849,37.359606,33.277753,32.37242,27.072982,26.273674,26.255564,25.764911,27.305747,25.834096,25.514806,27.832395,27.404575,29.018489,29.39629,26.695627,28.81145,24.521671,23.532476,26.449925,28.894746,29.462078,30.793666,30.806159,31.409359,30.805851
Mt CO2,Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.853969,96.241963,86.861432,75.376774,64.029685,56.957863,57.83037,58.209196,56.302595,54.086561,52.118701,50.910285,50.783735,51.374732,54.465744,55.01416,57.239326,55.727348,58.444191,55.318366,59.498259,56.382399,57.595686,57.549168,56.801809,52.618265,53.062826,54.070453
Mt CO2,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.96557,21.440971,15.905387,13.343319,3.064876,3.279823,4.129145,8.415171,10.645188,10.401709,13.718183,13.500826,14.21871,14.546432,15.186631,15.857733,17.462209,18.415091,20.240004,20.204495,20.482682,23.400889,21.645003,21.510392,19.172421,19.306465,22.019403,22.327978
Mt CO2,Bulgaria,63.830958,65.873207,67.731105,68.77888,73.315187,73.199135,75.957976,79.019714,82.248604,85.032429,81.057132,82.702959,81.280696,79.378318,82.206429,83.16401,84.220593,83.155829,82.559497,71.463722,57.371692,54.057769,54.540543,52.108309,52.737289,53.136273,51.687501,49.489089,43.210523,42.138072,44.972856,42.436775,46.646286,45.773631,46.473483,47.622547,50.958573,48.500374,42.373446,44.362486,49.165656,44.415409,39.159236,41.539009,43.715357,40.548756,42.819932
Mt CO2,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.328917,14.62919,14.124214,14.803147,13.987237,14.774177,14.650527,16.24561,17.609329,17.371297,16.782763,17.753863,18.853992,20.181196,19.58836,19.917214,19.977214,21.222283,20.164387,19.064566,18.248777,17.950446,16.419845,15.901102,15.117108,15.512642,15.858564,16.193172
