"Function","Attribute","Value","Type"
"fuel_wtp_ef_f","share_prod_ethanol_fuel",,"External"
"fuel_wtp_ef_f","share_ng_cons_elec",,"External"
"fuel_wtp_ef_f","fleet_id",,"External"
"fuel_wtp_ef_f","scenario_id",,"External"
"GIS_matching_f",,,
"health_damages_batteries_f","fleet_composition","","Internal"
"health_damages_batteries_f","battery_capacity_car",,"External"
"health_damages_batteries_f","battery_capacity_truck",,"External"
"health_damages_batteries_f","damage_per_kwh",,"External"
"health_damages_batteries_f","discount_rate",,"External"
"health_damages_batteries_f","first_proj_yr",,"External"
"health_damages_batteries_f","battery_calculation_method",,"External"
"health_damages_batteries_f","battery_energy_density",,"External"
"health_damages_batteries_f","fleet_id",,"External"
"inmap_electricity_emissions_f","fleet_elec_use_tot_county","","Internal"
"inmap_electricity_emissions_f","first_proj_yr",,"External"
"inmap_health_impacts_f","fleet_elec_use_tot_county","","Internal"
"inmap_health_impacts_f","vehicles_emissions_county","","Internal"
"inmap_health_impacts_f","fleet_fuel_usage_tot_county","","Internal"
"inmap_health_impacts_f","oil_gas_activity","","Internal"
"inmap_health_impacts_f","scenario_id",,"External"
"inmap_refining_emissions_f","fleet_fuel_usage_tot_county","","Internal"
"inmap_refining_emissions_f","oil_gas_activity","","Internal"
"inmap_vehicles_emissions_f","vehicles_emissions_county","","Internal"
"lca_ef_efuel_elec_f","ghg",,"Internal"
"lca_ef_efuel_elec_f","first_yr",,"External"
"lca_ef_efuel_elec_f","last_yr",,"External"
"lca_ef_efuel_elec_f","ef_efuel_elec_mdl",,"External"
"lca_ef_efuel_elec_f","ef_efuel_elec_adj_coef",,"External"
"lca_ef_elec_f","ghg",,"Internal"
"lca_ef_elec_f","first_yr",,"External"
"lca_ef_elec_f","last_yr",,"External"
"lca_ef_elec_f","ef_elec_mdl",,"External"
"lca_ef_elec_f","ef_elec_adj_mdl",,"External"
"lca_ef_elec_f","ef_elec_adj_coef",,"External"
"lca_ef_greet_f","ghg",,"Internal"
"lca_ef_greet_f","ef_prim_mat_mdl",,"External"
"lca_ef_greet_f","ef_fuel_prod_mdl",,"External"
"lca_ef_lit_f","techno","ns","Internal"
"lca_ef_lit_f","ghg",,"Internal"
"lca_ef_lit_f","FCV_bat_t",,"External"
"lca_ef_lit_f","HEV_bat_t",,"External"
"lca_ef_lit_f","BEV_bat_t",,"External"
"lca_ef_lit_f","PHEV_bat_t",,"External"
"lca_ef_lit_f","ef_bat_mdl",,"External"
"modify_brake_tire_wear_f","normalized_emissions_by_state","","Internal"
"modify_brake_tire_wear_f","brake_tire_emissions_modification",,"External"
"rec_rate_f","rec_scen",,"External"
"scenario_market_share_f","technology_market_share","","External"
"scenario_market_share_f","fleet_initial_year",,"External"
"scenario_market_share_f","fleet_final_year",,"External"
"scenario_market_share_f","first_proj_yr",,"External"
"scenario_market_share_f","fleet_id",,"External"
"scenario_market_share_f","scenario_id",,"External"
"sub_fac_f","rpd_mat","","Internal"
"sub_fac_f","rpg_mat","","Internal"
"sub_fac_f","component","","Internal"
"sub_fac_f","sub_fac_fun",,"External"
"survival_rate_f","year","","Internal"
"survival_rate_f","size","","Internal"
"survival_rate_f","techno","","Internal"
"survival_rate_f","survival_rate_mdl",,"External"
"survival_rate_f","survival_rate_adj_age",,"External"
"survival_rate_f","survival_rate_transition_period",,"External"
"survival_rate_f","survival_rate_techno_specific",,"External"
"survival_rate_f","cumulative_rate","n","Internal"
"technology_market_share_diffusion_f","i_value","","Internal"
"technology_market_share_diffusion_f","i_year","","Internal"
"technology_market_share_diffusion_f","last_yr",,"External"
"technology_market_share_diffusion_f","market_share_diffusion_mdl",,"External"
"technology_market_share_diffusion_f","market_share_linear_diff_coef",,"External"
"technology_market_share_diffusion_f","market_share_bass_innovation_coef",,"External"
"technology_market_share_diffusion_f","market_share_bass_imitation_coef",,"External"
"technology_market_share_diffusion_f","market_share_market_potential",,"External"
"total_benefits_calculation_f","cost_of_carbon",,"External"
"total_benefits_calculation_f","scenario_id",,"External"
"total_benefits_calculation_f","calculation_mode",,"External"
"total_benefits_calculation_f","discount_rate",,"External"
"valuation_health_outcomes_f","emissions_battery_production","","Internal"
"valuation_health_outcomes_f","scenario_id",,"External"
"valuation_health_outcomes_f","discount_rate",,"External"
"valuation_health_outcomes_f","value_statistical_life",,"External"
"valuation_health_outcomes_f","income_growth_rate",,"External"
"valuation_health_outcomes_f","vsl_elasticity",,"External"
"valuation_health_outcomes_f","include_battery_manufacturing",,"External"
"valuation_health_outcomes_f","battery_calculation_method",,"External"
"vehicle_climate_change_metric_f",,,
"vehicle_fc_changes_efficiency_f","vehicle","","Internal"
"vehicle_fc_changes_efficiency_f","model_year","","Internal"
"vehicle_fc_changes_efficiency_f","fc_impro",,"External"
"vehicle_fc_changes_efficiency_f","fc_dr_city",,"External"
